animal,weight_kg,lifespan_years,height_cm,daily_food_kg,sleep_hours,group_size
Mouse,0.02,2,8,0.015,12,10
Hamster,0.15,2.5,15,0.03,14,1
Rabbit,2,9,30,0.15,8,5
Cat,4.5,15,25,0.3,15,1
Fox,6.5,5,40,0.5,10,2
Dog,25,12,60,1.2,12,5
Sheep,75,12,90,3,4,30
Pig,200,15,90,6,8,10
Deer,90,20,140,4.5,3,15
Wolf,40,13,80,2.5,8,8
Pony,200,25,120,9,3,5
Zebra,350,25,140,15,3,20
Cow,700,20,150,25,4,20
Camel,500,40,200,15,6,15
Horse,500,30,160,20,3,10
Giraffe,1200,25,500,30,2,15
Hippo,1500,45,150,40,3,20
Rhino,2000,40,180,50,3,3
Elephant,5000,65,300,150,4,10
Penguin,5,20,70,0.5,7,100
Chicken,2,8,40,0.15,8,20
Duck,1.5,10,30,0.2,8,12
Goose,6,25,90,0.5,8,20
Turkey,10,10,100,0.7,8,10
Peacock,5,20,100,0.3,8,5
Ostrich,120,40,200,3,7,5
Turtle,15,80,30,0.2,12,1
Snake,5,20,200,0.2,16,1
Lizard,0.5,5,20,0.05,12,1
Goldfish,0.05,10,10,0.005,8,10
Salmon,8,7,70,0.4,6,1000
Shark,500,30,400,20,8,1
Whale,50000,80,2000,1500,1,5
Dolphin,200,45,250,10,8,15
Seal,300,30,180,15,7,40
Otter,15,16,120,1.5,11,10
Beaver,20,20,80,1,8,8
Squirrel,0.5,6,20,0.05,15,10
Raccoon,8,3,70,0.5,10,5
Monkey,10,30,60,0.5,12,30
Chimpanzee,50,40,120,2,10,20
Gorilla,180,40,170,20,12,10
Orangutan,75,35,140,7,12,2
Koala,10,15,80,0.5,20,1
Kangaroo,50,20,150,3,6,20
Wombat,30,20,100,1,12,1
Bat,0.02,5,10,0.01,20,1000
Eagle,5,20,80,0.5,10,2
Owl,2,25,50,0.2,10,1
Parrot,1,50,40,0.1,12,20
